sep=;
71548322;Australian Cattle Dog / Blue Heeler;Mixed Breed;true;Young;Female;Medium;MOXIE;Moxie is a young pup searching for her new family. She would love a family that will spoil her with...;A287647;https://apamo.org/adopt/adoptable-pets/?petID=A287647;;2024-05-04T07:10:18+0000;2024-05-04T07:10:19+0000
71548332;Australian Cattle Dog / Blue Heeler;Mixed Breed;true;Young;Male;Large;COOP;null;A296466;https://apamo.org/adopt/adoptable-pets/?petID=A296466;;2024-05-04T07:10:18+0000;2024-05-04T07:10:19+0000
71548335;Pit Bull Terrier;;false;Young;Female;Medium;GERTRUDE;null;A287279;https://apamo.org/adopt/adoptable-pets/?petID=A287279;;2024-05-04T07:10:18+0000;2024-05-04T07:10:19+0000
71548343;Golden Retriever;;false;Young;Male;Medium;SUNNY;null;A296514;https://apamo.org/adopt/adoptable-pets/?petID=A296514;;2024-05-04T07:10:18+0000;2024-05-04T07:10:19+0000
71548345;Labrador Retriever;Mixed Breed;true;Young;Female;Medium;CLIPPY;null;A296529;https://apamo.org/adopt/adoptable-pets/?petID=A296529;;2024-05-04T07:10:18+0000;2024-05-04T07:10:19+0000
71548321;Cardigan Welsh Corgi;Mixed Breed;true;Young;Female;Small;PATTY STAR;null;A296468;https://apamo.org/adopt/adoptable-pets/?petID=A296468;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/71548321/1/?bust=1714968242;2024-05-04T07:10:18+0000;2024-05-04T07:10:20+0000
71548331;Labrador Retriever;Mixed Breed;true;Baby;Male;Small;BOBBY;null;A296562;https://apamo.org/adopt/adoptable-pets/?petID=A296562;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/71548331/1/?bust=1714968273;2024-05-04T07:10:18+0000;2024-05-04T07:10:20+0000
71548326;Labrador Retriever;Mixed Breed;true;Baby;Male;Small;CHARGER;null;A296192;https://apamo.org/adopt/adoptable-pets/?petID=A296192;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/71548326/1/?bust=1714968321;2024-05-04T07:10:18+0000;2024-05-04T07:10:20+0000
71548333;Labrador Retriever;Mixed Breed;true;Baby;Male;Small;WILSON;Wilson's adorable head tilts brighten everyone's day! He enjoys games of tug-of-war and lounging on soft cushions. Adopt Wilson from...;A296195;https://apamo.org/adopt/adoptable-pets/?petID=A296195;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/71548333/1/?bust=1714968278;2024-05-04T07:10:18+0000;2024-05-04T07:10:20+0000
71548309;Akita;;false;Young;Female;Medium;ELIZABETH;null;A296354;https://apamo.org/adopt/adoptable-pets/?petID=A296354;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/71548309/1/?bust=1714968848;2024-05-04T07:10:18+0000;2024-05-04T07:10:20+0000
71548338;Pit Bull Terrier;;false;Young;Female;Small;HARMONY;null;A296355;https://apamo.org/adopt/adoptable-pets/?petID=A296355;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/71548338/1/?bust=1714969224;2024-05-04T07:10:18+0000;2024-05-04T07:10:20+0000
